Sector,Coordinates
Sector 1,
Sector 2,
Sector 3,
Sector 4,"28.4738° N, 77.0107° E"
Sector 5,"28.4794° N, 77.0176° E"
Sector 6,
Sector 7,"28.4644° N, 77.0143° E"
Sector 8,
Sector 9,"28.4603° N, 77.0000° E"
Sector 10,"28.4537° N, 77.0009° E"
Sector 11,"28.4531° N, 77.0202° E"
Sector 12,
Sector 13,
Sector 14,"28.4711° N, 77.0454° E"
Sector 15,"28.4621° N, 77.0464° E"
Sector 16,"28.4684° N, 77.0521° E"
Sector 17,"28.4791° N, 77.0608° E"
Sector 18,
Sector 19,
Sector 20,"28.5106° N, 77.0857° E"
Sector 21,"28.5134° N, 77.0723° E"
Sector 22,"28.5072° N, 77.0640° E"
Sector 23,"28.5121° N, 77.0478° E"
Sector 24,
Sector 25,
Sector 26,
Sector 27,
Sector 28,
Sector 29,"28.4669° N, 77.0663° E"
Sector 30,
Sector 31,
Sector 32,
Sector 33,"28.4420° N, 77.0207° E"
Sector 34,"28.4294° N, 77.0048° E"
Sector 35,
Sector 36,
Sector 37,
Sector 38,"28.4347° N, 77.0430° E"
Sector 39,"28.4434° N, 77.0515° E"
Sector 40,"28.4498° N, 77.0567° E"
Sector 41,"28.4557° N, 77.0632° E"
Sector 42,"28.4576° N, 77.1020° E"
Sector 43,"28.4629° N, 77.0772° E"
Sector 44,"28.4485° N, 77.0759° E"
Sector 45,
Sector 46,
Sector 47,"28.4276° N, 77.0492° E"
Sector 48,
Sector 49,
Sector 50,
Sector 51,
Sector 52,"28.4379° N, 77.0785° E"
Sector 53,"28.4433° N, 77.0948° E"
Sector 54,"28.4348° N, 77.1089° E"
Sector 55,
Sector 56,
Sector 57,"28.4232° N, 77.0752° E"
Sector 58,"28.4200° N, 77.1105° E"
Sector 59,
Sector 60,
Sector 61,"28.4050° N, 77.0963° E"
Sector 62,"28.4139° N, 77.0886° E"
Sector 63,"28.3971° N, 77.0867° E"
Sector 64,
Sector 65,
Sector 66,"28.3925° N, 77.0541° E"
Sector 67,"28.3859° N, 77.0608° E"
Sector 68,"28.3853° N, 77.0484° E"
Sector 69,
Sector 70,
Sector 71,"28.4104° N, 77.0281° E"
Sector 72,"28.4225° N, 77.0211° E"
Sector 73,
Sector 74,"28.4158° N, 77.0118° E"
Sector 75,
Sector 76,
Sector 77,"28.3801° N, 76.9845° E"
Sector 78,"28.3733° N, 76.9729° E"
Sector 79,
Sector 80,"28.3659° N, 76.9557° E"
Sector 81,"28.3867° N, 76.9485° E"
Sector 82,
Sector 83,"28.3986° N, 76.9647° E"
Sector 84,"28.3979° N, 76.9736° E"
Sector 85,"28.4042° N, 76.9513° E"
Sector 86,"28.3986° N, 76.9384° E"
Sector 87,
Sector 88,"28.4220° N, 76.9571° E"
Sector 89,
Sector 90,
Sector 91,
Sector 92,
Sector 93,
Sector 94,
Sector 95,"28.4172° N, 76.9081° E"
Sector 96,
Sector 97,
Sector 98,
Sector 99,"28.4640° N, 76.9614° E"
Sector 100,
Sector 101,
Sector 102,
Sector 103,
Sector 104,
Sector 105,"28.4952° N, 77.0114° E"
Sector 106,
Sector 107,
Sector 108,"28.5134° N, 76.9830° E"
Sector 109,"28.5073° N, 77.0089° E"
Sector 110,
Sector 111,
Sector 112,"28.5282° N, 77.0176° E"
Sector 113,"28.5287° N, 77.0233° E"
Sector 114,
Sector 115,
